查询_8000C码率查询_20160325133831
测量类型:,码率级别 
查询时间:,2016-03-25 00:00:00 - 2016-03-26 00:00:00
制表人:,admin
制表时间:,2016-03-25 13:38:31
序号,开始时间,结束时间,查询粒度,网元位置,VOD用户数,VOD流量(kbps),TVOD用户数,TVOD流量(kbps),TSTV用户数,TSTV流量(kbps)
40,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=pdpop3_1",36,73800,11,17728,5,11776
41,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=pdpop3_2",59,136600,36,60896,14,38776
42,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=pdpop4-1",194,466100,174,340208,35,102768
43,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=pdpop4-2",348,808200,314,568728,111,332048
44,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=pdpop5-1",15,37700,82,477032,60,232704
45,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=pdpop5-2",403,961500,240,440648,96,267856
46,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=pdpop5-3",454,981400,318,590096,97,308448
47,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=pdpop5-4",468,1105500,372,724568,118,355192
48,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-1",223,490000,163,306616,29,86296
49,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-2",250,504800,163,284264,20,64536
50,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-3",342,872600,198,370056,26,77624
51,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-4",260,628000,196,348300,65,187300
52,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-qy",1,1700,60,101224,5,13168
53,2016-03-25 00:00:00,2016-03-25 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-1",0,0,1,8176,0,0
