查询_8000C码率查询_20160325133831
测量类型:,码率级别 
查询时间:,2016-03-25 00:00:00 - 2016-03-26 00:00:00
制表人:,admin
制表时间:,2016-03-25 13:38:31
序号,开始时间,结束时间,查询粒度,网元位置,VOD用户数,VOD流量(kbps),TVOD用户数,TVOD流量(kbps),TSTV用户数,TSTV流量(kbps)
1274,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=dqpop3_1",363,753300,156,349032,110,334920
1275,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=dqpop3_2",117,260300,69,130704,63,190456
1276,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=dqpop3_qy",150,365900,54,110576,49,178832
1277,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=dqpop4-1",228,535500,129,258352,101,348824
1278,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=dqpop4-2",300,707100,143,242248,126,362864
1279,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=dqpop5-1",389,858400,162,333632,137,427608
1280,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=dqpop5-2",340,782000,152,298512,131,395816
1281,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-1",402,949400,139,275040,97,291752
1282,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-2",448,1002500,165,310640,124,370984
1283,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-3",147,373000,61,133672,36,121736
1284,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-qy",1,1700,32,59248,12,33072
1285,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=jdpop2-2",510,1202800,170,335408,154,455848
1286,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=jdpop3_1",378,784800,133,247088,94,283984
1287,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=jdpop3_qy",4,13000,90,273624,11,51808
1288,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=jdpop4-1",265,625900,100,201328,83,253032
1289,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=jdpop4-2",333,720800,145,286232,86,266104
1290,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jdpop5-1",489,1104400,180,349016,132,425472
1291,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jdpop5-2",376,861600,154,295688,122,333608
1292,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-1",74,156300,39,84728,24,79568
1293,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-2",233,520000,99,169840,31,94664
1294,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-3",146,309900,58,96816,30,81408
1295,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-4",176,355400,62,115288,29,82088
1296,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-qy",1,8200,17,47560,23,61208
1297,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=nhpop2-2",10,29300,0,0,1,8176
1298,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=nhpop3-1",236,576000,77,146120,30,89832
1299,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=nhpop4-1",217,518100,80,145608,47,136416
1300,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=nhpop4-qy",0,0,33,81752,5,30280
1301,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=nhpop5-1",341,771200,146,283224,102,297592
1302,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=nhpop5-qy",310,786300,102,215408,78,246880
1303,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"三期四期扩容,pdpop2-3",1,1700,1,2000,0,0
1304,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=pdpop3_1",27,52300,6,10032,4,10144
1305,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=pdpop3_2",36,67300,14,31616,13,35920
1306,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=pdpop4-1",139,311200,68,140528,25,73984
1307,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=pdpop4-2",255,613200,87,159056,96,284920
1308,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=pdpop5-1",6,16300,39,215632,48,174200
1309,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=pdpop5-2",281,644600,99,174696,78,220160
1310,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=pdpop5-3",307,657100,118,243856,91,285904
1311,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=pdpop5-4",295,664100,121,247384,98,296080
1312,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-1",122,275300,52,102704,22,67384
1313,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-2",158,318000,55,99608,9,27544
1314,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-3",225,568000,64,119208,9,25912
1315,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-4",156,383200,79,146500,50,139700
1316,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-qy",0,0,27,44488,5,13168
1317,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-1",0,0,1,8176,0,0
1318,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-2",247,592700,104,205552,60,192880
1319,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-3",321,653800,85,191080,65,205192
1320,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-4",265,634800,80,175112,57,166536
1321,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-5",283,622800,70,168696,60,202504
1322,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-qy",1,7900,45,127592,17,84624
1323,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-1",180,454200,56,110536,24,68528
1324,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-2",180,429000,50,102984,39,130872
1325,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-3",269,629300,103,191272,81,265784
1326,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-4",378,1001100,170,325328,123,384424
1327,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-5",365,904000,140,292752,103,325456
1328,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-6",217,610100,95,200136,75,239488
1329,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-qy",2,13900,0,0,14,39000
1330,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=xqpop4-1",80,222300,34,77176,24,84720
1331,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=xqpop4-qy",17,46800,198,688880,11,56888
1332,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-1",117,291200,56,95120,25,74248
1333,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-10",195,512500,72,151768,32,97536
1334,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-11",6,16200,1,1648,1,2888
1335,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-2",151,380400,85,161256,45,137464
1336,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-3",200,493700,104,206256,67,206664
1337,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-4",8,19400,0,0,0,0
1338,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-5",155,448900,70,137216,41,123704
1339,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-6",292,805700,156,326544,74,228176
1340,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-7",198,496600,101,220432,56,200000
1341,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-8",156,389200,97,198176,43,147608
1342,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-9",201,540800,115,242480,38,130560
1343,2016-03-25 04:00:00,2016-03-25 04:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-qy",6,15900,23,60080,8,33496
1344,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=bqpop3_1",240,607300,117,257120,78,258784
1345,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=bqpop3_2",324,765700,128,244968,135,380272
1346,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"五期扩容,ZXUSS_VS8000CID=bqpop4-1",63,180100,81,154648,0,0
1347,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"五期扩容,ZXUSS_VS8000CID=bqpop4-2",279,658500,133,274520,116,364888
1348,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=bqpop5-1",339,792300,147,295968,81,259176
1349,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=bqpop5-2",378,926400,143,338560,156,480864
1350,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"五期扩容,ZXUSS_VS8000CID=cmpop4-1",250,547800,90,155448,81,219368
1351,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=cmpop5-1",446,888300,214,394904,154,409544
1352,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=cmpop5-qy",294,527800,71,144464,87,237024
1353,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=dqpop3_1",361,743600,152,342472,109,332144
1354,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=dqpop3_2",117,260400,73,145272,63,190456
1355,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=dqpop3_qy",146,352900,60,121104,48,175976
1356,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"五期扩容,ZXUSS_VS8000CID=dqpop4-1",226,532100,130,267272,100,345960
1357,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"五期扩容,ZXUSS_VS8000CID=dqpop4-2",295,686300,144,243816,127,365656
1358,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=dqpop5-1",380,837100,159,328728,136,424728
1359,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=dqpop5-2",338,766500,155,297952,131,395816
1360,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-1",399,937900,143,286888,97,291752
1361,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-2",451,1014000,168,314216,123,368112
1362,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-3",144,367800,59,130472,36,121736
1363,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-qy",0,0,30,55952,11,30216
1364,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=jdpop2-2",508,1205700,171,331720,155,458704
1365,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=jdpop3_1",378,772600,131,243824,93,281128
1366,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=jdpop3_qy",4,13000,88,263456,11,51808
1367,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"五期扩容,ZXUSS_VS8000CID=jdpop4-1",264,624100,103,206256,83,253032
1368,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"五期扩容,ZXUSS_VS8000CID=jdpop4-2",329,713900,145,285008,86,266104
1369,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jdpop5-1",486,1093300,175,334176,132,425472
1370,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jdpop5-2",380,887200,143,271288,122,333608
1371,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-1",78,163100,35,78472,24,79568
1372,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-2",230,515000,101,173080,32,97552
1373,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-3",145,308200,62,103408,28,75648
1374,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-4",177,363000,64,118432,28,79200
1375,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-qy",1,8200,19,50856,23,61208
1376,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=nhpop2-2",10,29300,0,0,1,8176
1377,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=nhpop3-1",239,581100,75,141600,30,89832
1378,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"五期扩容,ZXUSS_VS8000CID=nhpop4-1",218,519800,78,142408,47,136416
1379,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"五期扩容,ZXUSS_VS8000CID=nhpop4-qy",0,0,33,88288,5,30280
1380,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=nhpop5-1",342,772400,150,289888,102,297592
1381,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=nhpop5-qy",309,784700,99,210464,77,243992
1382,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"三期四期扩容,pdpop2-3",0,0,1,2000,0,0
1383,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=pdpop3_1",28,54000,7,11672,4,10144
1384,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=pdpop3_2",35,65600,16,34848,13,35920
1385,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"五期扩容,ZXUSS_VS8000CID=pdpop4-1",135,304400,69,148808,25,73984
1386,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"五期扩容,ZXUSS_VS8000CID=pdpop4-2",254,617600,86,157440,94,279192
1387,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=pdpop5-1",6,16300,38,207440,48,174200
1388,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=pdpop5-2",273,624900,98,172704,78,220160
1389,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=pdpop5-3",308,640400,113,236840,92,287552
1390,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=pdpop5-4",297,673800,123,253456,98,296080
1391,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-1",119,270200,47,94432,22,67384
1392,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-2",155,313000,54,96728,9,27544
1393,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-3",222,557300,68,127040,9,25896
1394,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-4",152,370200,84,154500,50,139700
1395,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-qy",0,0,24,39544,5,13168
1396,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-1",0,0,1,8176,0,0
1397,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-2",251,605600,101,200608,60,192880
1398,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-3",318,648700,78,184832,65,205192
1399,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-4",262,629800,79,165640,56,163680
1400,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-5",280,617700,65,147424,61,205400
1401,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-qy",1,7900,39,109968,17,84624
1402,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-1",177,449200,56,103984,24,68528
1403,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-2",177,430200,52,106264,39,130872
1404,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-3",267,625900,101,187600,82,267416
1405,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-4",381,999500,177,349648,123,384424
1406,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-5",359,862300,144,295168,100,316880
1407,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-6",216,608500,94,198512,74,236632
1408,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-qy",2,13900,0,0,15,41856
1409,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"五期扩容,ZXUSS_VS8000CID=xqpop4-1",77,223500,37,82064,23,76472
1410,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"五期扩容,ZXUSS_VS8000CID=xqpop4-qy",16,45100,199,670928,10,54024
1411,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-1",115,281700,53,90136,25,74248
1412,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-10",193,515400,77,162472,31,94648
1413,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-11",5,14500,1,1648,1,2888
1414,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-2",152,388300,87,164536,45,137464
1415,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-3",190,464300,99,197992,66,203792
1416,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-4",10,22700,0,0,0,0
1417,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-5",160,463600,70,130616,41,123704
1418,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-6",294,802800,152,321192,73,225296
1419,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-7",200,506200,98,209096,56,200000
1420,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-8",149,377300,98,193272,42,144792
1421,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-9",197,540200,111,236080,37,127696
1422,2016-03-25 04:15:00,2016-03-25 04:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-qy",6,15900,29,72944,8,33496
1423,2016-03-25 04:30:00,2016-03-25 04:45:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=bqpop3_1",237,596000,116,248576,78,258784
1424,2016-03-25 04:30:00,2016-03-25 04:45:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=bqpop3_2",329,767500,125,240168,135,380272
1425,2016-03-25 04:30:00,2016-03-25 04:45:00,15分钟,"五期扩容,ZXUSS_VS8000CID=bqpop4-1",61,189900,82,156256,0,0
1426,2016-03-25 04:30:00,2016-03-25 04:45:00,15分钟,"五期扩容,ZXUSS_VS8000CID=bqpop4-2",276,660000,129,279840,117,367744
1427,2016-03-25 04:30:00,2016-03-25 04:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=bqpop5-1",331,778900,142,279984,81,259176
1428,2016-03-25 04:30:00,2016-03-25 04:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=bqpop5-2",377,899900,145,341536,156,480864
1429,2016-03-25 04:30:00,2016-03-25 04:45:00,15分钟,"五期扩容,ZXUSS_VS8000CID=cmpop4-1",252,557300,85,147304,80,216504
1430,2016-03-25 04:30:00,2016-03-25 04:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=cmpop5-1",459,910200,219,396952,155,411192
1431,2016-03-25 04:30:00,2016-03-25 04:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=cmpop5-qy",295,529500,75,152304,87,237024
1432,2016-03-25 04:30:00,2016-03-25 04:45:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=dqpop3_1",353,730100,152,329656,107,321144
1433,2016-03-25 04:30:00,2016-03-25 04:45:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=dqpop3_2",120,265400,76,152992,61,184728
1434,2016-03-25 04:30:00,2016-03-25 04:45:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=dqpop3_qy",141,338000,71,146832,48,175976
1435,2016-03-25 04:30:00,2016-03-25 04:45:00,15分钟,"五期扩容,ZXUSS_VS8000CID=dqpop4-1",228,535400,133,272672,101,347960
1436,2016-03-25 04:30:00,2016-03-25 04:45:00,15分钟,"五期扩容,ZXUSS_VS8000CID=dqpop4-2",294,690800,142,242264,127,366512
1437,2016-03-25 04:30:00,2016-03-25 04:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=dqpop5-1",379,828700,159,328664,134,418912
1438,2016-03-25 04:30:00,2016-03-25 04:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=dqpop5-2",334,760000,159,305544,130,392920
1439,2016-03-25 04:30:00,2016-03-25 04:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-1",396,926400,148,302824,95,286040
1440,2016-03-25 04:30:00,2016-03-25 04:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-2",454,1025100,176,328368,123,368112
1441,2016-03-25 04:30:00,2016-03-25 04:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-3",145,350800,58,127712,36,121736
1442,2016-03-25 04:30:00,2016-03-25 04:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-qy",0,0,33,60896,11,30216
1443,2016-03-25 04:30:00,2016-03-25 04:45:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=jdpop2-2",510,1208900,178,341888,153,452992
1444,2016-03-25 04:30:00,2016-03-25 04:45:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=jdpop3_1",380,782100,134,248560,92,279496
1445,2016-03-25 04:30:00,2016-03-25 04:45:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=jdpop3_qy",3,11300,88,264560,10,49808
1446,2016-03-25 04:30:00,2016-03-25 04:45:00,15分钟,"五期扩容,ZXUSS_VS8000CID=jdpop4-1",263,622200,101,204216,84,255888
1447,2016-03-25 04:30:00,2016-03-25 04:45:00,15分钟,"五期扩容,ZXUSS_VS8000CID=jdpop4-2",328,712400,140,271560,86,266104
1448,2016-03-25 04:30:00,2016-03-25 04:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jdpop5-1",480,1064600,175,334176,130,419712
1449,2016-03-25 04:30:00,2016-03-25 04:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jdpop5-2",384,900300,151,283024,120,329120
