序号,开始时间,结束时间,查询粒度,网元位置,总容量(MB),剩余容量(MB)
222,2016-07-27 03:00:00,2016-07-27 03:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=pdpop6-1",3813612,955328
223,2016-07-27 03:00:00,2016-07-27 03:15:00,15分钟,"4K节点,bqpop6-5",3813670,3811713
224,2016-07-27 03:00:00,2016-07-27 03:15:00,15分钟,核心8000H,15254336,7699507
225,2016-07-27 03:00:00,2016-07-27 03:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-4",3813626,793819
226,2016-07-27 03:00:00,2016-07-27 03:15:00,15分钟,"4K节点,pdpop6-3",2860225,2859951
227,2016-07-27 03:00:00,2016-07-27 03:15:00,15分钟,"4K节点,dqpop6-qy",7627188,7622910
228,2016-07-27 03:00:00,2016-07-27 03:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=nhpop6-2",3781831,758266
229,2016-07-27 03:00:00,2016-07-27 03:15:00,15分钟,"七期扩容,dqpop6-2",3813658,841184
230,2016-07-27 03:00:00,2016-07-27 03:15:00,15分钟,"4K节点,dqpop6-5",3873199,3869831
231,2016-07-27 03:00:00,2016-07-27 03:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=xmpop6-1",3813658,841073
232,2016-07-27 03:00:00,2016-07-27 03:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=pdpop6-2",3813612,784139
233,2016-07-27 03:00:00,2016-07-27 03:15:00,15分钟,"七期扩容,dqpop6-4",3813612,3245602
234,2016-07-27 03:00:00,2016-07-27 03:15:00,15分钟,"4K节点,dqpop6-3",3813612,3805571
235,2016-07-27 03:15:00,2016-07-27 03:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=xmpop6-1",3813658,839294
236,2016-07-27 03:15:00,2016-07-27 03:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-1",3813612,759791
237,2016-07-27 03:15:00,2016-07-27 03:30:00,15分钟,核心8000H,15254336,7694294
238,2016-07-27 03:15:00,2016-07-27 03:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-2",3813612,808997
239,2016-07-27 03:15:00,2016-07-27 03:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=pdpop6-1",3813612,953291
240,2016-07-27 03:15:00,2016-07-27 03:30:00,15分钟,"4K节点,bqpop6-5",3813670,3811713
241,2016-07-27 03:15:00,2016-07-27 03:30:00,15分钟,"七期扩容,dqpop6-4",3813612,3243403
242,2016-07-27 03:15:00,2016-07-27 03:30:00,15分钟,"七期扩容,dqpop6-2",3813658,838311
243,2016-07-27 03:15:00,2016-07-27 03:30:00,15分钟,"4K节点,dqpop6-qy",7627188,7622910
244,2016-07-27 03:15:00,2016-07-27 03:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-4",3813626,791210
245,2016-07-27 03:15:00,2016-07-27 03:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=dqpop6-1",3813612,762449
246,2016-07-27 03:15:00,2016-07-27 03:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=pdpop6-2",3813612,785277
247,2016-07-27 03:15:00,2016-07-27 03:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=nhpop6-1",3813674,866371
248,2016-07-27 03:15:00,2016-07-27 03:30:00,15分钟,"4K节点,dqpop6-3",3813612,3805571
249,2016-07-27 03:15:00,2016-07-27 03:30:00,15分钟,"4K节点,pdpop6-3",2860225,2859951
250,2016-07-27 03:15:00,2016-07-27 03:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=nhpop6-2",3781831,756508
251,2016-07-27 03:15:00,2016-07-27 03:30:00,15分钟,"4K节点,dqpop6-5",3873199,3869831
252,2016-07-27 03:15:00,2016-07-27 03:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=xqpop6-1",3813612,760887
253,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,核心8000H,15254336,7699502
254,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-1",3813612,762343
255,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=xmpop6-1",3813658,841086
256,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=xqpop6-1",3813612,763290
257,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"七期扩容,dqpop6-4",3813612,3245603
258,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"4K节点,dqpop6-5",3873199,3869831
259,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"七期扩容,dqpop6-2",3813658,840583
260,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=pdpop6-2",3813612,786694
261,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-4",3813626,792895
262,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"4K节点,dqpop6-3",3813612,3805571
263,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-2",3813612,810150
264,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=nhpop6-1",3813674,867904
265,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=nhpop6-2",3781831,758029
266,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"4K节点,dqpop6-qy",7627188,7622910
267,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"4K节点,pdpop6-3",2860225,2859951
268,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=pdpop6-1",3813612,955480
269,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"4K节点,bqpop6-5",3813670,3811713
270,2016-07-27 03:30:00,2016-07-27 03:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=dqpop6-1",3813612,764246
271,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=nhpop6-2",3781831,756215
272,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"4K节点,dqpop6-qy",7627188,7622910
273,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-4",3813626,790131
274,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"4K节点,pdpop6-3",2860225,2859951
275,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=xmpop6-1",3813658,839176
276,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-2",3813612,807813
277,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-1",3813612,759014
278,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,核心8000H,15254336,7694281
279,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=nhpop6-1",3813674,866100
280,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"七期扩容,dqpop6-4",3813612,3243389
281,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=xqpop6-1",3813612,760855
282,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"4K节点,bqpop6-5",3813670,3811713
283,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"4K节点,dqpop6-5",3873199,3869831
284,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=dqpop6-1",3813612,762183
285,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=pdpop6-1",3813612,953287
286,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"4K节点,dqpop6-3",3813612,3805571
287,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"七期扩容,dqpop6-2",3813658,838203
288,2016-07-27 03:45:00,2016-07-27 04:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=pdpop6-2",3813612,785115
289,2016-07-27 04:00:00,2016-07-27 04:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=xmpop6-1",3813658,840644
290,2016-07-27 04:00:00,2016-07-27 04:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=nhpop6-1",3813674,867327
291,2016-07-27 04:00:00,2016-07-27 04:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-2",3813612,809262
292,2016-07-27 04:00:00,2016-07-27 04:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=pdpop6-1",3813612,958333
293,2016-07-27 04:00:00,2016-07-27 04:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=pdpop6-2",3813612,785785
294,2016-07-27 04:00:00,2016-07-27 04:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=dqpop6-1",3813612,764123
295,2016-07-27 04:00:00,2016-07-27 04:15:00,15分钟,"4K节点,dqpop6-3",3813612,3805571
296,2016-07-27 04:00:00,2016-07-27 04:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=xqpop6-1",3813612,763354
297,2016-07-27 04:00:00,2016-07-27 04:15:00,15分钟,"4K节点,pdpop6-3",2860225,2859951
298,2016-07-27 04:00:00,2016-07-27 04:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=nhpop6-2",3781831,757518
299,2016-07-27 04:00:00,2016-07-27 04:15:00,15分钟,"4K节点,bqpop6-5",3813670,3811713
300,2016-07-27 04:00:00,2016-07-27 04:15:00,15分钟,核心8000H,15254336,7699441
301,2016-07-27 04:00:00,2016-07-27 04:15:00,15分钟,"4K节点,dqpop6-qy",7627188,7622910
302,2016-07-27 04:00:00,2016-07-27 04:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-1",3813612,762429
303,2016-07-27 04:00:00,2016-07-27 04:15:00,15分钟,"4K节点,dqpop6-5",3873199,3869831
304,2016-07-27 04:00:00,2016-07-27 04:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-4",3813626,792048
305,2016-07-27 04:00:00,2016-07-27 04:15:00,15分钟,"七期扩容,dqpop6-4",3813612,3245592
306,2016-07-27 04:00:00,2016-07-27 04:15:00,15分钟,"七期扩容,dqpop6-2",3813658,841152
307,2016-07-27 04:15:00,2016-07-27 04:30:00,15分钟,"4K节点,pdpop6-3",2860225,2859951
308,2016-07-27 04:15:00,2016-07-27 04:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=dqpop6-1",3813612,761872
309,2016-07-27 04:15:00,2016-07-27 04:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=pdpop6-1",3813612,956026
310,2016-07-27 04:15:00,2016-07-27 04:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=nhpop6-2",3781831,756172
311,2016-07-27 04:15:00,2016-07-27 04:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-2",3813612,807069
312,2016-07-27 04:15:00,2016-07-27 04:30:00,15分钟,核心8000H,15254336,7694310
313,2016-07-27 04:15:00,2016-07-27 04:30:00,15分钟,"七期扩容,dqpop6-4",3813612,3243395
314,2016-07-27 04:15:00,2016-07-27 04:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-1",3813612,759775
315,2016-07-27 04:15:00,2016-07-27 04:30:00,15分钟,"4K节点,dqpop6-5",3873199,3869831
316,2016-07-27 04:15:00,2016-07-27 04:30:00,15分钟,"4K节点,dqpop6-3",3813612,3805571
317,2016-07-27 04:15:00,2016-07-27 04:30:00,15分钟,"4K节点,bqpop6-5",3813670,3811713
318,2016-07-27 04:15:00,2016-07-27 04:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=xmpop6-1",3813658,838409
319,2016-07-27 04:15:00,2016-07-27 04:30:00,15分钟,"4K节点,dqpop6-qy",7627188,7622910
320,2016-07-27 04:15:00,2016-07-27 04:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-4",3813626,792609
321,2016-07-27 04:15:00,2016-07-27 04:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=xqpop6-1",3813612,761046
322,2016-07-27 04:15:00,2016-07-27 04:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=nhpop6-1",3813674,865244
323,2016-07-27 04:15:00,2016-07-27 04:30:00,15分钟,"七期扩容,dqpop6-2",3813658,839258
324,2016-07-27 04:15:00,2016-07-27 04:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=pdpop6-2",3813612,784206
325,2016-07-27 04:30:00,2016-07-27 04:45:00,15分钟,"4K节点,bqpop6-5",3813670,3811713
326,2016-07-27 04:30:00,2016-07-27 04:45:00,15分钟,"4K节点,pdpop6-3",2860225,2859951
327,2016-07-27 04:30:00,2016-07-27 04:45:00,15分钟,核心8000H,15254336,7699527
328,2016-07-27 04:30:00,2016-07-27 04:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=pdpop6-1",3813612,957304
329,2016-07-27 04:30:00,2016-07-27 04:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=pdpop6-2",3813612,784964
330,2016-07-27 04:30:00,2016-07-27 04:45:00,15分钟,"七期扩容,dqpop6-4",3813612,3245604
331,2016-07-27 04:30:00,2016-07-27 04:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=dqpop6-1",3813612,763114
332,2016-07-27 04:30:00,2016-07-27 04:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=xmpop6-1",3813658,839320
333,2016-07-27 04:30:00,2016-07-27 04:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-4",3813626,794024
334,2016-07-27 04:30:00,2016-07-27 04:45:00,15分钟,"七期扩容,dqpop6-2",3813658,841969
335,2016-07-27 04:30:00,2016-07-27 04:45:00,15分钟,"4K节点,dqpop6-qy",7627188,7622910
336,2016-07-27 04:30:00,2016-07-27 04:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=xqpop6-1",3813612,763054
337,2016-07-27 04:30:00,2016-07-27 04:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-1",3813612,762090
338,2016-07-27 04:30:00,2016-07-27 04:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-2",3813612,808455
339,2016-07-27 04:30:00,2016-07-27 04:45:00,15分钟,"4K节点,dqpop6-3",3813612,3805571
340,2016-07-27 04:30:00,2016-07-27 04:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=nhpop6-1",3813674,866170
341,2016-07-27 04:30:00,2016-07-27 04:45:00,15分钟,"4K节点,dqpop6-5",3873199,3869831
342,2016-07-27 04:30:00,2016-07-27 04:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=nhpop6-2",3781831,757182
343,2016-07-27 04:45:00,2016-07-27 05:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=dqpop6-1",3813612,761215
344,2016-07-27 04:45:00,2016-07-27 05:00:00,15分钟,"七期扩容,dqpop6-4",3813612,3243426
345,2016-07-27 04:45:00,2016-07-27 05:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-4",3813626,790507
346,2016-07-27 04:45:00,2016-07-27 05:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=nhpop6-2",3781831,755502
347,2016-07-27 04:45:00,2016-07-27 05:00:00,15分钟,"七期扩容,dqpop6-2",3813658,838988
348,2016-07-27 04:45:00,2016-07-27 05:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=pdpop6-1",3813612,955114
349,2016-07-27 04:45:00,2016-07-27 05:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-2",3813612,806435
350,2016-07-27 04:45:00,2016-07-27 05:00:00,15分钟,"4K节点,bqpop6-5",3813670,3811713
351,2016-07-27 04:45:00,2016-07-27 05:00:00,15分钟,"4K节点,dqpop6-3",3813612,3805571
352,2016-07-27 04:45:00,2016-07-27 05:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=xmpop6-1",3813658,836662
353,2016-07-27 04:45:00,2016-07-27 05:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=xqpop6-1",3813612,760639
354,2016-07-27 04:45:00,2016-07-27 05:00:00,15分钟,核心8000H,15254336,7694279
355,2016-07-27 04:45:00,2016-07-27 05:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=nhpop6-1",3813674,864089
356,2016-07-27 04:45:00,2016-07-27 05:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=pdpop6-2",3813612,783343
357,2016-07-27 04:45:00,2016-07-27 05:00:00,15分钟,"4K节点,pdpop6-3",2860225,2859951
358,2016-07-27 04:45:00,2016-07-27 05:00:00,15分钟,"4K节点,dqpop6-qy",7627188,7622910
359,2016-07-27 04:45:00,2016-07-27 05:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-1",3813612,758857
360,2016-07-27 04:45:00,2016-07-27 05:00:00,15分钟,"4K节点,dqpop6-5",3873199,3869831
361,2016-07-27 05:00:00,2016-07-27 05:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=xqpop6-1",3813612,763393
362,2016-07-27 05:00:00,2016-07-27 05:15:00,15分钟,"4K节点,pdpop6-3",2860225,2859951
363,2016-07-27 05:00:00,2016-07-27 05:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=pdpop6-2",3813612,786823
364,2016-07-27 05:00:00,2016-07-27 05:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=xmpop6-1",3813658,837685
365,2016-07-27 05:00:00,2016-07-27 05:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=nhpop6-1",3813674,864389
366,2016-07-27 05:00:00,2016-07-27 05:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=dqpop6-1",3813612,762453
367,2016-07-27 05:00:00,2016-07-27 05:15:00,15分钟,"4K节点,dqpop6-5",3873199,3869831
368,2016-07-27 05:00:00,2016-07-27 05:15:00,15分钟,"4K节点,dqpop6-qy",7627188,7622910
369,2016-07-27 05:00:00,2016-07-27 05:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-4",3813626,791733
370,2016-07-27 05:00:00,2016-07-27 05:15:00,15分钟,核心8000H,15254336,7699522
371,2016-07-27 05:00:00,2016-07-27 05:15:00,15分钟,"七期扩容,dqpop6-2",3813658,841094
372,2016-07-27 05:00:00,2016-07-27 05:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-2",3813612,807511
373,2016-07-27 05:00:00,2016-07-27 05:15:00,15分钟,"4K节点,bqpop6-5",3813670,3811713
374,2016-07-27 05:00:00,2016-07-27 05:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=pdpop6-1",3813612,956558
375,2016-07-27 05:00:00,2016-07-27 05:15:00,15分钟,"七期扩容,dqpop6-4",3813612,3245597
376,2016-07-27 05:00:00,2016-07-27 05:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-1",3813612,761492
377,2016-07-27 05:00:00,2016-07-27 05:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=nhpop6-2",3781831,756682
378,2016-07-27 05:00:00,2016-07-27 05:15:00,15分钟,"4K节点,dqpop6-3",3813612,3805571
379,2016-07-27 05:15:00,2016-07-27 05:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=xmpop6-1",3813658,836424
380,2016-07-27 05:15:00,2016-07-27 05:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=nhpop6-2",3781831,755283
381,2016-07-27 05:15:00,2016-07-27 05:30:00,15分钟,核心8000H,15254336,7694288
382,2016-07-27 05:15:00,2016-07-27 05:30:00,15分钟,"七期扩容,dqpop6-4",3813612,3243403
383,2016-07-27 05:15:00,2016-07-27 05:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=nhpop6-1",3813674,864600
384,2016-07-27 05:15:00,2016-07-27 05:30:00,15分钟,"4K节点,dqpop6-3",3813612,3805571
385,2016-07-27 05:15:00,2016-07-27 05:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=xqpop6-1",3813612,761727
386,2016-07-27 05:15:00,2016-07-27 05:30:00,15分钟,"4K节点,dqpop6-qy",7627188,7622910
387,2016-07-27 05:15:00,2016-07-27 05:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-1",3813612,757758
388,2016-07-27 05:15:00,2016-07-27 05:30:00,15分钟,"七期扩容,dqpop6-2",3813658,839127
389,2016-07-27 05:15:00,2016-07-27 05:30:00,15分钟,"4K节点,bqpop6-5",3813670,3811713
390,2016-07-27 05:15:00,2016-07-27 05:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=dqpop6-1",3813612,761565
391,2016-07-27 05:15:00,2016-07-27 05:30:00,15分钟,"4K节点,pdpop6-3",2860225,2859951
392,2016-07-27 05:15:00,2016-07-27 05:30:00,15分钟,"4K节点,dqpop6-5",3873199,3869831
393,2016-07-27 05:15:00,2016-07-27 05:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=pdpop6-2",3813612,784963
394,2016-07-27 05:15:00,2016-07-27 05:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-2",3813612,804971
395,2016-07-27 05:15:00,2016-07-27 05:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=pdpop6-1",3813612,954333
396,2016-07-27 05:15:00,2016-07-27 05:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-4",3813626,789261
397,2016-07-27 05:30:00,2016-07-27 05:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=pdpop6-2",3813612,785781
398,2016-07-27 05:30:00,2016-07-27 05:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=pdpop6-1",3813612,955263
399,2016-07-27 05:30:00,2016-07-27 05:45:00,15分钟,"4K节点,bqpop6-5",3813670,3811713
400,2016-07-27 05:30:00,2016-07-27 05:45:00,15分钟,核心8000H,15254336,7699446
401,2016-07-27 05:30:00,2016-07-27 05:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=nhpop6-1",3813674,865896
402,2016-07-27 05:30:00,2016-07-27 05:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-2",3813612,805906
403,2016-07-27 05:30:00,2016-07-27 05:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=nhpop6-2",3781831,756076
404,2016-07-27 05:30:00,2016-07-27 05:45:00,15分钟,"4K节点,dqpop6-5",3873199,3869831
405,2016-07-27 05:30:00,2016-07-27 05:45:00,15分钟,"4K节点,dqpop6-qy",7627188,7622910
406,2016-07-27 05:30:00,2016-07-27 05:45:00,15分钟,"七期扩容,dqpop6-4",3813612,3245610
407,2016-07-27 05:30:00,2016-07-27 05:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-4",3813626,790706
408,2016-07-27 05:30:00,2016-07-27 05:45:00,15分钟,"4K节点,dqpop6-3",3813612,3805571
409,2016-07-27 05:30:00,2016-07-27 05:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=dqpop6-1",3813612,763519
410,2016-07-27 05:30:00,2016-07-27 05:45:00,15分钟,"4K节点,pdpop6-3",2860225,2859951
411,2016-07-27 05:30:00,2016-07-27 05:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=xqpop6-1",3813612,764310
412,2016-07-27 05:30:00,2016-07-27 05:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=xmpop6-1",3813658,837983
413,2016-07-27 05:30:00,2016-07-27 05:45:00,15分钟,"七期扩容,dqpop6-2",3813658,840213
414,2016-07-27 05:30:00,2016-07-27 05:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-1",3813612,760289
415,2016-07-27 05:45:00,2016-07-27 06:00:00,15分钟,"4K节点,bqpop6-5",3813670,3811713
416,2016-07-27 05:45:00,2016-07-27 06:00:00,15分钟,"4K节点,dqpop6-3",3813612,3805571
417,2016-07-27 05:45:00,2016-07-27 06:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=xmpop6-1",3813658,837275
418,2016-07-27 05:45:00,2016-07-27 06:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-2",3813612,803542
419,2016-07-27 05:45:00,2016-07-27 06:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-4",3813626,787430
420,2016-07-27 05:45:00,2016-07-27 06:00:00,15分钟,"4K节点,dqpop6-qy",7627188,7622910
421,2016-07-27 05:45:00,2016-07-27 06:00:00,15分钟,核心8000H,15254336,7694245
422,2016-07-27 05:45:00,2016-07-27 06:00:00,15分钟,"4K节点,dqpop6-5",3873199,3869831
423,2016-07-27 05:45:00,2016-07-27 06:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=xqpop6-1",3813612,761027
424,2016-07-27 05:45:00,2016-07-27 06:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=pdpop6-2",3813612,784034
425,2016-07-27 05:45:00,2016-07-27 06:00:00,15分钟,"七期扩容,dqpop6-4",3813612,3243407
426,2016-07-27 05:45:00,2016-07-27 06:00:00,15分钟,"4K节点,pdpop6-3",2860225,2859951
427,2016-07-27 05:45:00,2016-07-27 06:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=nhpop6-2",3781831,753646
428,2016-07-27 05:45:00,2016-07-27 06:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=dqpop6-1",3813612,761032
429,2016-07-27 05:45:00,2016-07-27 06:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=pdpop6-1",3813612,952896
430,2016-07-27 05:45:00,2016-07-27 06:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=nhpop6-1",3813674,864398
431,2016-07-27 05:45:00,2016-07-27 06:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-1",3813612,757057
432,2016-07-27 05:45:00,2016-07-27 06:00:00,15分钟,"七期扩容,dqpop6-2",3813658,836937
433,2016-07-27 06:00:00,2016-07-27 06:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=xmpop6-1",3813658,838895
434,2016-07-27 06:00:00,2016-07-27 06:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=pdpop6-2",3813612,784842
435,2016-07-27 06:00:00,2016-07-27 06:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=nhpop6-1",3813674,865549
436,2016-07-27 06:00:00,2016-07-27 06:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-2",3813612,805622
437,2016-07-27 06:00:00,2016-07-27 06:15:00,15分钟,核心8000H,15254336,7699493
438,2016-07-27 06:00:00,2016-07-27 06:15:00,15分钟,"4K节点,dqpop6-5",3873199,3869831
439,2016-07-27 06:00:00,2016-07-27 06:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-1",3813612,760644
440,2016-07-27 06:00:00,2016-07-27 06:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-4",3813626,791262
441,2016-07-27 06:00:00,2016-07-27 06:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=nhpop6-2",3781831,754943
442,2016-07-27 06:00:00,2016-07-27 06:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=dqpop6-1",3813612,761409
443,2016-07-27 06:00:00,2016-07-27 06:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=xqpop6-1",3813612,763580
444,2016-07-27 06:00:00,2016-07-27 06:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=pdpop6-1",3813612,954361
