序号,开始时间,结束时间,查询粒度,网元位置,总容量(MB),剩余容量(MB)
45,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,"七期扩容,dqpop6-2",3813658,841710
46,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-2",3813612,814053
47,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=nhpop6-1",3813674,865595
48,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,核心8000H,15254336,7699459
49,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=pdpop6-1",3813612,955365
50,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,"4K节点,pdpop6-3",2860225,2859951
51,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,"七期扩容,dqpop6-4",3813612,3245561
52,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,"4K节点,dqpop6-5",3873199,3869831
53,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=xqpop6-1",3813612,763375
54,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=dqpop6-1",3813612,763304
55,2016-07-27 00:45:00,2016-07-27 01:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-1",3813612,760893
56,2016-07-27 00:45:00,2016-07-27 01:00:00,15分钟,"七期扩容,dqpop6-4",3813612,3243377
57,2016-07-27 00:45:00,2016-07-27 01:00:00,15分钟,"4K节点,dqpop6-5",3873199,3869831
58,2016-07-27 00:45:00,2016-07-27 01:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=pdpop6-2",3813612,784785
59,2016-07-27 00:45:00,2016-07-27 01:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=pdpop6-1",3813612,953365
60,2016-07-27 00:45:00,2016-07-27 01:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=nhpop6-2",3781831,755886
61,2016-07-27 00:45:00,2016-07-27 01:00:00,15分钟,核心8000H,15254336,7694262
62,2016-07-27 00:45:00,2016-07-27 01:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-4",3813626,790657
63,2016-07-27 00:45:00,2016-07-27 01:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=xmpop6-1",3813658,836891
64,2016-07-27 00:45:00,2016-07-27 01:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=xqpop6-1",3813612,760567
65,2016-07-27 00:45:00,2016-07-27 01:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=dqpop6-1",3813612,761323
66,2016-07-27 00:45:00,2016-07-27 01:00:00,15分钟,"4K节点,dqpop6-qy",7627188,7622910
67,2016-07-27 00:45:00,2016-07-27 01:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=nhpop6-1",3813674,863916
68,2016-07-27 00:45:00,2016-07-27 01:00:00,15分钟,"4K节点,dqpop6-3",3813612,3805571
69,2016-07-27 00:45:00,2016-07-27 01:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-2",3813612,812141
70,2016-07-27 00:45:00,2016-07-27 01:00:00,15分钟,"4K节点,bqpop6-5",3813670,3811713
71,2016-07-27 00:45:00,2016-07-27 01:00:00,15分钟,"4K节点,pdpop6-3",2860225,2859951
72,2016-07-27 00:45:00,2016-07-27 01:00:00,15分钟,"七期扩容,dqpop6-2",3813658,838770
73,2016-07-27 01:00:00,2016-07-27 01:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=pdpop6-1",3813612,956549
74,2016-07-27 01:00:00,2016-07-27 01:15:00,15分钟,"4K节点,dqpop6-3",3813612,3805571
75,2016-07-27 01:00:00,2016-07-27 01:15:00,15分钟,"4K节点,dqpop6-5",3873199,3869831
76,2016-07-27 01:00:00,2016-07-27 01:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=nhpop6-1",3813674,865097
77,2016-07-27 01:00:00,2016-07-27 01:15:00,15分钟,核心8000H,15254336,7699509
78,2016-07-27 01:00:00,2016-07-27 01:15:00,15分钟,"4K节点,dqpop6-qy",7627188,7622910
79,2016-07-27 01:00:00,2016-07-27 01:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=dqpop6-1",3813612,763123
80,2016-07-27 01:00:00,2016-07-27 01:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=xmpop6-1",3813658,838618
81,2016-07-27 01:00:00,2016-07-27 01:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-4",3813626,792771
82,2016-07-27 01:00:00,2016-07-27 01:15:00,15分钟,"七期扩容,dqpop6-2",3813658,841097
83,2016-07-27 01:00:00,2016-07-27 01:15:00,15分钟,"4K节点,bqpop6-5",3813670,3811713
84,2016-07-27 01:00:00,2016-07-27 01:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-1",3813612,764141
85,2016-07-27 01:00:00,2016-07-27 01:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=nhpop6-2",3781831,757092
86,2016-07-27 01:00:00,2016-07-27 01:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=xqpop6-1",3813612,762818
87,2016-07-27 01:00:00,2016-07-27 01:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=pdpop6-2",3813612,785395
88,2016-07-27 01:00:00,2016-07-27 01:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-2",3813612,813677
89,2016-07-27 01:00:00,2016-07-27 01:15:00,15分钟,"七期扩容,dqpop6-4",3813612,3245589
90,2016-07-27 01:00:00,2016-07-27 01:15:00,15分钟,"4K节点,pdpop6-3",2860225,2859951
91,2016-07-27 01:15:00,2016-07-27 01:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=pdpop6-2",3813612,783804
92,2016-07-27 01:15:00,2016-07-27 01:30:00,15分钟,"4K节点,dqpop6-5",3873199,3869831
93,2016-07-27 01:15:00,2016-07-27 01:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-1",3813612,760836
94,2016-07-27 01:15:00,2016-07-27 01:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=xqpop6-1",3813612,760113
95,2016-07-27 01:15:00,2016-07-27 01:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=nhpop6-1",3813674,864293
96,2016-07-27 01:15:00,2016-07-27 01:30:00,15分钟,"4K节点,pdpop6-3",2860225,2859951
97,2016-07-27 01:15:00,2016-07-27 01:30:00,15分钟,核心8000H,15254336,7694274
98,2016-07-27 01:15:00,2016-07-27 01:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-4",3813626,790269
99,2016-07-27 01:15:00,2016-07-27 01:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-2",3813612,811534
100,2016-07-27 01:15:00,2016-07-27 01:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=xmpop6-1",3813658,837043
101,2016-07-27 01:15:00,2016-07-27 01:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=pdpop6-1",3813612,954570
102,2016-07-27 01:15:00,2016-07-27 01:30:00,15分钟,"七期扩容,dqpop6-2",3813658,838323
103,2016-07-27 01:15:00,2016-07-27 01:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=nhpop6-2",3781831,755993
104,2016-07-27 01:15:00,2016-07-27 01:30:00,15分钟,"4K节点,dqpop6-qy",7627188,7622910
105,2016-07-27 01:15:00,2016-07-27 01:30:00,15分钟,"4K节点,bqpop6-5",3813670,3811713
106,2016-07-27 01:15:00,2016-07-27 01:30:00,15分钟,"七期扩容,dqpop6-4",3813612,3243390
107,2016-07-27 01:15:00,2016-07-27 01:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=dqpop6-1",3813612,761651
108,2016-07-27 01:15:00,2016-07-27 01:30:00,15分钟,"4K节点,dqpop6-3",3813612,3805571
109,2016-07-27 01:30:00,2016-07-27 01:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-2",3813612,812586
110,2016-07-27 01:30:00,2016-07-27 01:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=xmpop6-1",3813658,838800
111,2016-07-27 01:30:00,2016-07-27 01:45:00,15分钟,"4K节点,pdpop6-3",2860225,2859951
112,2016-07-27 01:30:00,2016-07-27 01:45:00,15分钟,"七期扩容,dqpop6-4",3813612,3245569
113,2016-07-27 01:30:00,2016-07-27 01:45:00,15分钟,"4K节点,dqpop6-5",3873199,3869831
114,2016-07-27 01:30:00,2016-07-27 01:45:00,15分钟,核心8000H,15254336,7699486
115,2016-07-27 01:30:00,2016-07-27 01:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=pdpop6-2",3813612,784402
116,2016-07-27 01:30:00,2016-07-27 01:45:00,15分钟,"4K节点,bqpop6-5",3813670,3811713
117,2016-07-27 01:30:00,2016-07-27 01:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=pdpop6-1",3813612,956186
118,2016-07-27 01:30:00,2016-07-27 01:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=nhpop6-2",3781831,757299
119,2016-07-27 01:30:00,2016-07-27 01:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-1",3813612,763326
120,2016-07-27 01:30:00,2016-07-27 01:45:00,15分钟,"4K节点,dqpop6-3",3813612,3805571
121,2016-07-27 01:30:00,2016-07-27 01:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=dqpop6-1",3813612,763721
122,2016-07-27 01:30:00,2016-07-27 01:45:00,15分钟,"七期扩容,dqpop6-2",3813658,840859
123,2016-07-27 01:30:00,2016-07-27 01:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=xqpop6-1",3813612,762632
124,2016-07-27 01:30:00,2016-07-27 01:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=nhpop6-1",3813674,865584
125,2016-07-27 01:30:00,2016-07-27 01:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-4",3813626,792038
126,2016-07-27 01:30:00,2016-07-27 01:45:00,15分钟,"4K节点,dqpop6-qy",7627188,7622910
127,2016-07-27 01:45:00,2016-07-27 02:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=xmpop6-1",3813658,837359
128,2016-07-27 01:45:00,2016-07-27 02:00:00,15分钟,"4K节点,dqpop6-qy",7627188,7622910
129,2016-07-27 01:45:00,2016-07-27 02:00:00,15分钟,"4K节点,dqpop6-3",3813612,3805571
130,2016-07-27 01:45:00,2016-07-27 02:00:00,15分钟,"七期扩容,dqpop6-4",3813612,3243377
131,2016-07-27 01:45:00,2016-07-27 02:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=nhpop6-1",3813674,864643
132,2016-07-27 01:45:00,2016-07-27 02:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=dqpop6-1",3813612,762362
133,2016-07-27 01:45:00,2016-07-27 02:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-4",3813626,792420
134,2016-07-27 01:45:00,2016-07-27 02:00:00,15分钟,核心8000H,15254336,7694330
135,2016-07-27 01:45:00,2016-07-27 02:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=nhpop6-2",3781831,756145
136,2016-07-27 01:45:00,2016-07-27 02:00:00,15分钟,"4K节点,bqpop6-5",3813670,3811713
137,2016-07-27 01:45:00,2016-07-27 02:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-2",3813612,810465
138,2016-07-27 01:45:00,2016-07-27 02:00:00,15分钟,"4K节点,dqpop6-5",3873199,3869831
139,2016-07-27 01:45:00,2016-07-27 02:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=pdpop6-1",3813612,954063
140,2016-07-27 01:45:00,2016-07-27 02:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-1",3813612,760132
141,2016-07-27 01:45:00,2016-07-27 02:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=xqpop6-1",3813612,760291
142,2016-07-27 01:45:00,2016-07-27 02:00:00,15分钟,"4K节点,pdpop6-3",2860225,2859951
143,2016-07-27 01:45:00,2016-07-27 02:00:00,15分钟,"七期扩容,dqpop6-2",3813658,838925
144,2016-07-27 01:45:00,2016-07-27 02:00:00,15分钟,"七期扩容,ZXUSS_VS8000HID=pdpop6-2",3813612,785338
145,2016-07-27 02:00:00,2016-07-27 02:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=dqpop6-1",3813612,764424
146,2016-07-27 02:00:00,2016-07-27 02:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=nhpop6-2",3781831,757653
147,2016-07-27 02:00:00,2016-07-27 02:15:00,15分钟,"4K节点,bqpop6-5",3813670,3811713
148,2016-07-27 02:00:00,2016-07-27 02:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-1",3813612,762931
149,2016-07-27 02:00:00,2016-07-27 02:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=xmpop6-1",3813658,839148
150,2016-07-27 02:00:00,2016-07-27 02:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=pdpop6-2",3813612,786397
151,2016-07-27 02:00:00,2016-07-27 02:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-2",3813612,811884
152,2016-07-27 02:00:00,2016-07-27 02:15:00,15分钟,"七期扩容,dqpop6-2",3813658,841494
153,2016-07-27 02:00:00,2016-07-27 02:15:00,15分钟,"4K节点,dqpop6-5",3873199,3869831
154,2016-07-27 02:00:00,2016-07-27 02:15:00,15分钟,"4K节点,pdpop6-3",2860225,2859951
155,2016-07-27 02:00:00,2016-07-27 02:15:00,15分钟,"4K节点,dqpop6-qy",7627188,7622910
156,2016-07-27 02:00:00,2016-07-27 02:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=nhpop6-1",3813674,866146
157,2016-07-27 02:00:00,2016-07-27 02:15:00,15分钟,"4K节点,dqpop6-3",3813612,3805571
158,2016-07-27 02:00:00,2016-07-27 02:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=pdpop6-1",3813612,955532
159,2016-07-27 02:00:00,2016-07-27 02:15:00,15分钟,核心8000H,15254336,7699519
160,2016-07-27 02:00:00,2016-07-27 02:15:00,15分钟,"七期扩容,dqpop6-4",3813612,3245573
161,2016-07-27 02:00:00,2016-07-27 02:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=xqpop6-1",3813612,762913
162,2016-07-27 02:00:00,2016-07-27 02:15:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-4",3813626,794359
163,2016-07-27 02:15:00,2016-07-27 02:30:00,15分钟,"4K节点,dqpop6-qy",7627188,7622910
164,2016-07-27 02:15:00,2016-07-27 02:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-4",3813626,792069
165,2016-07-27 02:15:00,2016-07-27 02:30:00,15分钟,"4K节点,bqpop6-5",3813670,3811713
166,2016-07-27 02:15:00,2016-07-27 02:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=nhpop6-1",3813674,866593
167,2016-07-27 02:15:00,2016-07-27 02:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=pdpop6-1",3813612,953626
168,2016-07-27 02:15:00,2016-07-27 02:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-2",3813612,809915
169,2016-07-27 02:15:00,2016-07-27 02:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=xmpop6-1",3813658,838460
170,2016-07-27 02:15:00,2016-07-27 02:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=dqpop6-1",3813612,762293
171,2016-07-27 02:15:00,2016-07-27 02:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=nhpop6-2",3781831,755996
172,2016-07-27 02:15:00,2016-07-27 02:30:00,15分钟,"4K节点,dqpop6-5",3873199,3869831
173,2016-07-27 02:15:00,2016-07-27 02:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=xqpop6-1",3813612,760635
174,2016-07-27 02:15:00,2016-07-27 02:30:00,15分钟,"七期扩容,dqpop6-4",3813612,3243386
175,2016-07-27 02:15:00,2016-07-27 02:30:00,15分钟,核心8000H,15254336,7694327
176,2016-07-27 02:15:00,2016-07-27 02:30:00,15分钟,"七期扩容,dqpop6-2",3813658,838871
177,2016-07-27 02:15:00,2016-07-27 02:30:00,15分钟,"4K节点,pdpop6-3",2860225,2859951
178,2016-07-27 02:15:00,2016-07-27 02:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=pdpop6-2",3813612,784633
179,2016-07-27 02:15:00,2016-07-27 02:30:00,15分钟,"七期扩容,ZXUSS_VS8000HID=bqpop6-1",3813612,760001
180,2016-07-27 02:15:00,2016-07-27 02:30:00,15分钟,"4K节点,dqpop6-3",3813612,3805571
181,2016-07-27 02:30:00,2016-07-27 02:45:00,15分钟,"七期扩容,ZXUSS_VS8000HID=nhpop6-1",3813674,868142
182,2016-07-27 02:30:00,2016-07-27 02:45:00,15分钟,"4K节点,bqpop6-5",3813670,3811713
183,2016-07-27 02:30:00,2016-07-27 02:45:00,15分钟,"4K节点,dqpop6-3",3813612,3805571
