内容ID,频道名,频道ID,smil文件名,服务提供商ID,直播次数,直播热度,回看次数,回看热度,时移次数,时移热度
3221225680,,iptv141938,0000000036y2.smil,88888888,0,0.00%,1,0.00%,0,0.00%,0
3221225683,,iptv141945,0000000036y5.smil,88888888,0,0.00%,1,0.00%,0,0.00%,0
3221225684,,iptv141946,0000000036y6.smil,88888888,0,0.00%,8,0.00%,0,0.00%,0
3221225765,投资频道,iptv255201,iptv255201.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221225767,东南卫视,iptv258530,iptv258530.smil,88888888,0,0.00%,1,0.00%,0,0.00%,0
3221226081,CCTV-4-2.5M,00000100000000060000000000000326_0,00000100000000060000000000000326_0.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221226113,10MCCTVHD,00000100000000060000000000061171_1,00000100000000060000000000061171_1.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221226114,10MCCTVHD,00000100000000060000000000061171_0,00000100000000060000000000061171_0.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221226128,厦门卫视-2.5M,00000100000000060000000000087160_0,00000100000000060000000000087160_0.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221226129,陕西卫视-2.5M,00000100000000060000000000087167_0,00000100000000060000000000087167_0.smil,88888888,0,0.00%,11,0.00%,0,0.00%,0
3221226143,五星体育-2.5M,00000100000000060000000000087183_0,00000100000000060000000000087183_0.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221226150,劲暴足球-2.5M,00000100000000060000000000087182_0,00000100000000060000000000087182_0.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221226173,直播室16-2.5M,00000100000000060000000000087278_1,00000100000000060000000000087278_1.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221226175,直播室11-2.5M,00000100000000060000000000087274_1,00000100000000060000000000087274_1.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221226177,CCTV-高网-2.5M,00000100000000060000000000087271_1,00000100000000060000000000087271_1.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221226180,直播室15-2.5M,00000100000000060000000000087277_1,00000100000000060000000000087277_1.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221226182,直播室14-2.5M,00000100000000060000000000087276_1,00000100000000060000000000087276_1.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221226184,直播室12-2.5M,00000100000000060000000000087275_1,00000100000000060000000000087275_1.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221226186,直播室10-2.5M,00000100000000060000000000087273_1,00000100000000060000000000087273_1.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221226187,新疆卫视,00000100000000060000000000152294_0,00000100000000060000000000152294_0.smil,88888888,0,0.00%,26,0.00%,0,0.00%,0
3221226189,兵团卫视,00000100000000060000000000152297_0,00000100000000060000000000152297_0.smil,88888888,0,0.00%,25,0.00%,0,0.00%,0
3221226190,直播室12-2.5M,00000100000000060000000000087275_2,00000100000000060000000000087275_2.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221226193,直播室4,00000100000000060000000000201563_0,00000100000000060000000000201563_0.smil,88888888,0,0.00%,6,0.00%,0,0.00%,0
3221226197,东方财经,00000100000000060000000000205536_0,00000100000000060000000000205536_0.smil,88888888,0,0.00%,2,0.00%,0,0.00%,0
3221226199,看看新闻,00000100000000060000000000218448_0,00000100000000060000000000218448_0.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221226203,测试频道,10000100000000060000000000368977_0,10000100000000060000000000368977_0.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221226205,测试CCTV-1,10000100000000060000000000370761_0,10000100000000060000000000370761_0.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221226212,央视3D实验,00000100000000060000000000283697_0,00000100000000060000000000283697_0.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221226213,健康社区,10000100000000060000000000379501_0,10000100000000060000000000379501_0.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221226214,测试CCTV-HD,10000100000000060000000000370762_0,10000100000000060000000000370762_0.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221226217,湖北卫视HD,10000100000000060000000000522061_0,10000100000000060000000000522061_0.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221226218,山东卫视HD,10000100000000060000000000522060_0,10000100000000060000000000522060_0.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221226221,中国金融台,10000100000000060000000000557673_0,10000100000000060000000000557673_0.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221226222,中国金融台-2.5M,10000100000000060000000000557674_0,10000100000000060000000000557674_0.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221226223,购物商城,10000100000000060000000000603100_0,10000100000000060000000000603100_0.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221226224,闵行电视台,10000100000000060000000000636271_0,10000100000000060000000000636271_0.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221226226,闵行测试频道,10000100000000060000000000646128_0,10000100000000060000000000646128_0.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221226228,央广购物,10000100000000060000000000646845_0,10000100000000060000000000646845_0.smil,88888888,0,0.00%,29,0.00%,0,0.00%,0
3221226235,嘉定电视台,10000100000000060000000000826573_0,10000100000000060000000000826573_0.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221226242,魅力音乐HD,10000100000000060000000001005950_0,10000100000000060000000001005950_0.smil,88888888,0,0.00%,1,0.00%,0,0.00%,0
3221226244,全纪实HD,10000100000000060000000001005952_0,10000100000000060000000001005952_0.smil,88888888,0,0.00%,2,0.00%,0,0.00%,0
3221226246,幸福彩HD,10000100000000060000000001005954_0,10000100000000060000000001005954_0.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221226247,欢笑剧场HD,10000100000000060000000001005949_0,10000100000000060000000001005949_0.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221226248,游戏风云HD,10000100000000060000000001005956_0,10000100000000060000000001005956_0.smil,88888888,0,0.00%,1,0.00%,0,0.00%,0
3221226249,都市剧场HD,10000100000000060000000001005951_0,10000100000000060000000001005951_0.smil,88888888,0,0.00%,1,0.00%,0,0.00%,0
3221226250,第一剧场,10000100000000060000000001005958_0,10000100000000060000000001005958_0.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221226251,动漫秀场HD,10000100000000060000000001005953_0,10000100000000060000000001005953_0.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221226252,风云音乐,10000100000000060000000001005961_0,10000100000000060000000001005961_0.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221226253,生活时尚HD,10000100000000060000000001005955_0,10000100000000060000000001005955_0.smil,88888888,0,0.00%,1,0.00%,0,0.00%,0
3221226254,央视精品,10000100000000060000000001005966_0,10000100000000060000000001005966_0.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221226255,快乐宠物,10000100000000060000000001005957_0,10000100000000060000000001005957_0.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221226256,老故事,10000100000000060000000001005968_0,10000100000000060000000001005968_0.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221226257,风云足球,10000100000000060000000001005960_0,10000100000000060000000001005960_0.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221226258,浙江卫视HD杜比,10000100000000060000000001266472_0,10000100000000060000000001266472_0.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221226259,世界地理,10000100000000060000000001005963_0,10000100000000060000000001005963_0.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221226260,好享购,10000100000000060000000001335174_0,10000100000000060000000001335174_0.smil,88888888,0,0.00%,15,0.00%,0,0.00%,0
3221226261,风云剧场,10000100000000060000000001005965_0,10000100000000060000000001005965_0.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221226262,央广健康频道,10000100000000060000000001524590_0,10000100000000060000000001524590_0.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221226263,女性时尚,10000100000000060000000001005967_0,10000100000000060000000001005967_0.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221226265,快乐宠物-2.5M,10000100000000060000000001007591_0,10000100000000060000000001007591_0.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221226267,4K测试,10000100000000060000000001415230_0,10000100000000060000000001415230_0.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
3221226269,点掌财经,10000100000000060000000001440979_0,10000100000000060000000001440979_0.smil,88888888,0,0.00%,0,0.00%,0,0.00%,0
