POP点,设备名,设备IP,告警ID,告警参数描述,告警模块,告警级别,告警时间
南区区域2,S3900-1-A,10.192.83.11,None,CONNECT FAILED,Major,---,8
中区云南边缘2,S3900-2-A,10.192.81.79,None,CONNECT FAILED,Major,---,8
浦东边缘9,S3900-1-A,10.192.82.77,None,CONNECT FAILED,Major,---,8
莘闵纪王边缘2,S3900-2-B,10.192.84.48,None,CONNECT FAILED,Major,---,8
西区濮家桥边缘1,S3900-2-B,10.192.83.144,None,CONNECT FAILED,Major,---,8
南区肇家浜边缘1,S3900-1-A,10.192.81.11,None,CONNECT FAILED,Major,---,8
南区区域2,S3900-1-B,10.192.83.12,None,CONNECT FAILED,Major,---,8
宝山边缘8,S3900-1-A,10.192.84.141,None,CONNECT FAILED,Major,---,8
奉贤边缘4,S3900-1-A,10.192.85.235,None,CONNECT FAILED,Major,---,8
西区濮家桥边缘2,S3900-1-A,10.192.83.173,None,CONNECT FAILED,Major,---,8
青浦边缘1,S3900-2-A,10.192.85.79,None,CONNECT FAILED,Major,---,8
中区云南边缘1,S3900-2-A,10.192.81.47,None,CONNECT FAILED,Major,---,8
浦东边缘8,S3900-2-B,10.192.82.48,None,CONNECT FAILED,Major,---,8
宝山边缘8,S3900-2-B,10.192.84.144,None,CONNECT FAILED,Major,---,8
浦东边缘9,S3900-2-B,10.192.82.80,None,CONNECT FAILED,Major,---,8
中区云南边缘3,S3900-2-A,10.192.82.207,None,CONNECT FAILED,Major,---,8
西区边缘2,S3900-2-A,10.192.83.111,None,CONNECT FAILED,Major,---,8
浦东边缘9,S3900-1-B,10.192.82.78,None,CONNECT FAILED,Major,---,8
