序号,开始时间,结束时间,查询粒度,网元位置,磁盘总容量(MB),磁盘剩余容量(MB)
1,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=pdpop3_2",80119116,24694149
2,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=pdpop5-1",56270601,10544008
3,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=dqpop5-1",61039296,12093959
4,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"三期四期扩容,pdpop2-3",123993870,70541858
5,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-3",123993870,57332066
6,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=nhpop3-1",76303920,15294917
7,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,ZXUSS_VS8000CID=高生直播转码,5722794,4507368
8,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=pdpop5-2",110640684,23138465
9,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=bqpop5-2",122086272,28025185
10,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=jdpop4-2",78211518,15238978
11,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-2",120178674,47994685
12,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=dqpop4-1",125901468,45640682
13,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-1",64854612,22848896
14,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=xqpop4-1",63900633,22472653
15,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-4",125901468,45265477
16,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-2",110640684,33606101
17,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=dqpop4-2",110640684,54279124
18,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-1",123993870,42280380
19,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=bqpop4-1",116363478,40796007
20,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-7",125901468,41657430
21,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=dqpop3_1",80119159,24403408
22,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=jdpop4-1",87749508,31083883
23,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-2",125901468,45230470
24,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-1",60085557,16824322
25,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=jdpop3_1",87749508,30783782
26,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-4",125901468,43390302
27,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-qy",112548282,39144541
28,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=xqpop4-qy",121132413,57215173
29,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-4",114455880,43859014
30,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-qy",122086272,44916001
31,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-3",125901468,51854754
32,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-8",125871661,44204317
33,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-3",125901468,47063655
34,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=pdpop4-1",101102694,36073321
35,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-4",123993870,40359719
36,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-5",123993870,45133852
37,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=nhpop4-qy",91564704,37298431
38,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=dqpop3_qy",91564704,14039488
39,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-2",125901468,41875812
40,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=bqpop4-2",120178674,59054941
41,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=pdpop5-3",114455880,23817551
42,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jdpop5-1",61993275,20530528
43,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-1",60085557,21087207
44,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=jdpop3_qy",101102694,22563095
45,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-2",122086272,43614994
46,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=cmpop4-1",78211518,27401906
47,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-3",116363478,44306519
48,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-6",123993870,39972966
49,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=bqpop3_1",74396322,17221045
50,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=nhpop5-1",61993275,12246960
51,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-1",125901468,43943420
52,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-9",116303864,37705317
53,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=dqpop3_2",82026714,16571577
54,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-3",123993870,41179824
55,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-1",125901468,45734186
56,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jdpop5-2",118271076,19270909
57,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-4",18121041,2335116
58,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=nhpop5-qy",123993870,43849136
59,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-6",125901468,43703894
60,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=bqpop5-1",55317222,7777149
61,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-qy",125901468,23174882
62,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-5",123993870,43091026
63,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-qy",120178674,44694730
64,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=nhpop2-2",106825488,48033316
65,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=pdpop3_1",85841910,21460747
66,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=pdpop4-2",106825488,38351429
67,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-10",125901468,42451158
68,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-3",125901468,46795474
69,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=cmpop5-qy",122086272,38829574
70,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-2",123993870,45082983
71,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-qy",120178674,47491277
72,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=bqpop3_2",80119116,18367227
73,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=dqpop5-2",122086272,33966199
74,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-11",122086272,50868567
75,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"五期扩容,ZXUSS_VS8000CID=nhpop4-1",95379900,24128981
76,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=pdpop5-4",114455880,23959767
77,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-5",120178674,38202744
78,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-qy",123993870,49814455
79,2016-07-27 00:00:00,2016-07-27 00:15:00,15分钟,"六期扩容,ZXUSS_VS8000CID=cmpop5-1",59131938,18248405
80,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-8",125871661,44194420
81,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"五期扩容,ZXUSS_VS8000CID=bqpop4-2",120178674,59007889
82,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-qy",125901468,23229220
83,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=nhpop5-1",61993275,12327762
84,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=bqpop5-1",55317222,7793193
85,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=bqpop3_1",74396322,17169456
86,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=bqpop5-2",122086272,28091614
87,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-1",125901468,43865224
88,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=pdpop3_2",80119116,24652753
89,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=bqpop3_2",80119116,18450170
90,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jdpop5-1",61993275,20465446
91,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=dqpop3_2",82026714,16496102
92,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-3",123993870,41106800
93,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-qy",120178674,44809168
94,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-5",123993870,43024721
95,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=pdpop5-1",56270601,10504101
96,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"五期扩容,ZXUSS_VS8000CID=jdpop4-2",78211518,15172546
97,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=dqpop3_1",80119159,24460045
98,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=dqpop5-2",122086272,33894353
99,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-4",125901468,45363121
100,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"五期扩容,ZXUSS_VS8000CID=xqpop4-1",63900633,22562298
101,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-1",64854612,22761325
102,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=dqpop5-1",61039296,12034353
103,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=pdpop3_1",85841910,21413231
104,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-1",60085557,21018449
105,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-11",122086272,50788435
106,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=nhpop2-2",106825488,47984809
107,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,ZXUSS_VS8000CID=高生直播转码,5722794,4507368
108,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-qy",123993870,49928011
109,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-1",123993870,42227576
110,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"五期扩容,ZXUSS_VS8000CID=cmpop4-1",78211518,27350444
111,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-3",123993870,57331249
112,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-5",120178674,38154596
113,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-2",122086272,43729965
114,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"五期扩容,ZXUSS_VS8000CID=xqpop4-qy",121132413,57090715
115,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=jdpop3_qy",101102694,22437713
116,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-5",123993870,45096957
117,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-4",18121041,2366213
118,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-2",110640684,33679320
119,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=pdpop5-4",114455880,24047041
120,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"三期四期扩容,pdpop2-3",123993870,70487533
121,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=jdpop3_1",87749508,30856725
122,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=nhpop5-qy",123993870,43791180
123,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=cmpop5-1",59131938,18422054
124,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"五期扩容,ZXUSS_VS8000CID=bqpop4-1",116363478,40974734
125,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=pdpop5-2",110640684,23187985
126,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-2",123993870,45019825
127,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=cmpop5-qy",122086272,38697750
128,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-7",125901468,41585362
129,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-2",125901468,41803430
130,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-6",125901468,43796832
131,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-3",116363478,44367366
132,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-6",123993870,39893442
133,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-qy",120178674,47381314
134,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-3",125901468,51788490
135,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=dqpop3_qy",91564704,14072861
136,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-qy",122086272,44775439
137,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-4",114455880,43803308
138,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"五期扩容,ZXUSS_VS8000CID=nhpop4-qy",91564704,37172731
139,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=nhpop3-1",76303920,15341962
140,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"五期扩容,ZXUSS_VS8000CID=dqpop4-2",110640684,54223544
141,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-3",125901468,46852971
142,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"五期扩容,ZXUSS_VS8000CID=dqpop4-1",125901468,45747388
143,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-10",125901468,42552806
144,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"五期扩容,ZXUSS_VS8000CID=pdpop4-2",106825488,38303339
145,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-3",125901468,47027648
146,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-1",125901468,45827236
147,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jdpop5-2",118271076,19248927
148,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-1",60085557,16987282
149,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-2",120178674,48124680
150,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-4",125901468,43442877
151,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-qy",112548282,39268265
152,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-4",123993870,40299197
153,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"五期扩容,ZXUSS_VS8000CID=pdpop4-1",101102694,36093386
154,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"五期扩容,ZXUSS_VS8000CID=nhpop4-1",95379900,24201208
155,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-2",125901468,45186888
156,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"五期扩容,ZXUSS_VS8000CID=jdpop4-1",87749508,31014788
157,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=pdpop5-3",114455880,23771913
158,2016-07-27 00:15:00,2016-07-27 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-9",116303864,37621475
159,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-qy",120178674,44721911
160,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-4",123993870,40369094
161,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=pdpop5-4",114455880,24033151
162,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,"五期扩容,ZXUSS_VS8000CID=jdpop4-1",87749508,30942080
163,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=jdpop3_1",87749508,30795885
164,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=nhpop5-qy",123993870,43823254
165,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=dqpop5-2",122086272,33930415
166,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,"五期扩容,ZXUSS_VS8000CID=dqpop4-2",110640684,54172219
167,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=bqpop5-1",55317222,7918712
168,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=cmpop5-1",59131938,18415725
169,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-2",120178674,48114443
170,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,"五期扩容,ZXUSS_VS8000CID=xqpop4-1",63900633,22723454
171,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-4",125901468,45298983
172,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-2",123993870,44948984
173,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,"五期扩容,ZXUSS_VS8000CID=jdpop4-2",78211518,15131221
174,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=nhpop5-1",61993275,12264655
175,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=pdpop3_2",80119116,24676545
176,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-9",116303864,37703651
177,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-4",114455880,43745232
178,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-3",123993870,57277200
179,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-qy",122086272,44818511
180,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-5",123993870,43061805
181,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-1",60085557,16972489
182,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-1",64854612,22697390
183,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=bqpop3_2",80119116,18539103
184,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=qppop5-2",122086272,43688128
185,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,"五期扩容,ZXUSS_VS8000CID=nhpop4-qy",91564704,37066855
186,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=nhpop3-1",76303920,15283001
187,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=dqpop5-1",61039296,11978079
188,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,"五期扩容,ZXUSS_VS8000CID=bqpop4-1",116363478,41097720
189,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xmpop5-5",120178674,38213268
190,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=cmpop5-qy",122086272,38590986
191,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=sjpop5-3",125901468,46784476
192,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=pdpop5-1",56270601,10786024
193,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-1",125901468,43797031
194,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=pdpop5-2",110640684,23233408
195,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=pdpop3_1",85841910,21366267
196,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=xqpop5-7",125901468,41611863
197,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-3",116363478,44311776
198,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=bqpop3_1",74396322,17159897
199,2016-07-27 00:30:00,2016-07-27 00:45:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=dqpop3_2",82026714,16532991
