频道,节目名称,录制状态,频道ID,SPID,节目开始时间,节目结束时间
CCTV-1-2.5M,前情提要:父亲的身份(11),RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226079/00000100000000060000000000000305_0.smil,350000000002,2016-04-28 20:56:00,2016-04-28 20:59:00,0
CCTV-1-2.5M,人与自然,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226079/00000100000000060000000000000305_0.smil,350000000002,2016-04-28 00:30:00,2016-04-28 01:00:00,0
CCTV-1-2.5M,人与自然,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226079/00000100000000060000000000000305_0.smil,350000000002,2016-04-28 05:30:00,2016-04-28 06:00:00,0
CCTV-1-2.5M,生活圈,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226079/00000100000000060000000000000305_0.smil,350000000002,2016-04-28 08:35:00,2016-04-28 09:27:00,0
CCTV-1-2.5M,天气预报,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226079/00000100000000060000000000000305_0.smil,350000000002,2016-04-28 19:30:00,2016-04-28 19:37:00,0
CCTV-1-2.5M,晚间新闻,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226079/00000100000000060000000000000305_0.smil,350000000002,2016-04-28 01:00:00,2016-04-28 01:32:00,0
CCTV-1-2.5M,晚间新闻,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226079/00000100000000060000000000000305_0.smil,350000000002,2016-04-28 22:00:00,2016-04-28 22:35:00,0
CCTV-1-2.5M,新闻30分,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226079/00000100000000060000000000000305_0.smil,350000000002,2016-04-28 12:00:00,2016-04-28 12:34:00,0
CCTV-1-2.5M,新闻联播,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226079/00000100000000060000000000000305_0.smil,350000000002,2016-04-28 05:00:00,2016-04-28 05:30:00,0
CCTV-1-2.5M,新闻联播,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226079/00000100000000060000000000000305_0.smil,350000000002,2016-04-28 19:00:00,2016-04-28 19:30:00,0
CCTV-1-2.5M,遥远的婚约(10),RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226079/00000100000000060000000000000305_0.smil,350000000002,2016-04-28 14:43:00,2016-04-28 15:32:00,0
CCTV-1-2.5M,遥远的婚约(11),RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226079/00000100000000060000000000000305_0.smil,350000000002,2016-04-28 15:32:00,2016-04-28 16:23:00,0
CCTV-1-2.5M,中国梦:刻骨铭心,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226079/00000100000000060000000000000305_0.smil,350000000002,2016-04-28 16:23:00,2016-04-28 16:34:00,0
CCTV-10,百家讲坛,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225511/00000000011q.smil,350000000002,2016-04-28 00:00:00,2016-04-28 00:24:00,0
CCTV-10,百家讲坛,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225511/00000000011q.smil,350000000002,2016-04-28 11:42:00,2016-04-28 12:28:00,0
CCTV-10,地理中国,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225511/00000000011q.smil,350000000002,2016-04-28 08:10:00,2016-04-28 08:42:00,0
CCTV-10,地理中国,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225511/00000000011q.smil,350000000002,2016-04-28 14:57:00,2016-04-28 15:29:00,0
CCTV-10,地理中国,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225511/00000000011q.smil,350000000002,2016-04-28 17:43:00,2016-04-28 18:13:00,0
CCTV-10,第10放映室,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225511/00000000011q.smil,350000000002,2016-04-28 01:17:00,2016-04-28 01:59:00,0
CCTV-10,健康之路,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225511/00000000011q.smil,350000000002,2016-04-28 08:42:00,2016-04-28 09:29:00,0
CCTV-10,健康之路,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225511/00000000011q.smil,350000000002,2016-04-28 12:28:00,2016-04-28 13:14:00,0
CCTV-10,健康之路,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225511/00000000011q.smil,350000000002,2016-04-28 18:13:00,2016-04-28 18:57:00,0
CCTV-10,人物,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225511/00000000011q.smil,350000000002,2016-04-28 22:49:00,2016-04-28 23:32:00,0
CCTV-10,探索发现,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225511/00000000011q.smil,350000000002,2016-04-28 14:10:00,2016-04-28 14:57:00,0
CCTV-10,探索发现,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225511/00000000011q.smil,350000000002,2016-04-28 22:03:00,2016-04-28 22:49:00,0
CCTV-10,我爱发明,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225511/00000000011q.smil,350000000002,2016-04-28 00:24:00,2016-04-28 01:17:00,0
CCTV-10,我爱发明,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225511/00000000011q.smil,350000000002,2016-04-28 07:14:00,2016-04-28 08:10:00,0
CCTV-10,我爱发明,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225511/00000000011q.smil,350000000002,2016-04-28 13:14:00,2016-04-28 14:10:00,0
CCTV-10,我爱发明,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225511/00000000011q.smil,350000000002,2016-04-28 18:57:00,2016-04-28 19:53:00,0
CCTV-10,欣赏,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225511/00000000011q.smil,350000000002,2016-04-28 07:09:00,2016-04-28 07:14:00,0
CCTV-10,欣赏,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225511/00000000011q.smil,350000000002,2016-04-28 23:32:00,2016-04-28 23:37:00,0
CCTV-10,真相特别节目(75),RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225511/00000000011q.smil,350000000002,2016-04-28 01:59:00,2016-04-28 03:39:00,0
CCTV-10,真相特别节目(75),RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225511/00000000011q.smil,350000000002,2016-04-28 03:39:00,2016-04-28 05:19:00,0
CCTV-10,真相特别节目(75),RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225511/00000000011q.smil,350000000002,2016-04-28 05:19:00,2016-04-28 06:00:00,0
CCTV-10,真相特别节目(79),RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225511/00000000011q.smil,350000000002,2016-04-28 10:41:00,2016-04-28 11:42:00,0
CCTV-10,真相特别节目(79),RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225511/00000000011q.smil,350000000002,2016-04-28 16:47:00,2016-04-28 17:43:00,0
CCTV-10,真相特别节目(80),RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225511/00000000011q.smil,350000000002,2016-04-28 21:05:00,2016-04-28 22:03:00,0
CCTV-10,自然传奇,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225511/00000000011q.smil,350000000002,2016-04-28 06:00:00,2016-04-28 06:43:00,0
CCTV-10,自然传奇,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225511/00000000011q.smil,350000000002,2016-04-28 09:29:00,2016-04-28 10:41:00,0
CCTV-10,自然传奇,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225511/00000000011q.smil,350000000002,2016-04-28 15:29:00,2016-04-28 16:47:00,0
CCTV-10,自然传奇,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225511/00000000011q.smil,350000000002,2016-04-28 19:53:00,2016-04-28 20:36:00,0
CCTV-10,走近科学,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225511/00000000011q.smil,350000000002,2016-04-28 06:43:00,2016-04-28 07:09:00,0
CCTV-10,走近科学,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225511/00000000011q.smil,350000000002,2016-04-28 20:36:00,2016-04-28 21:05:00,0
CCTV-10-2.5M,百家讲坛,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226157/00000100000000060000000000087197_0.smil,350000000002,2016-04-28 00:00:00,2016-04-28 00:24:00,0
CCTV-10-2.5M,百家讲坛,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226157/00000100000000060000000000087197_0.smil,350000000002,2016-04-28 11:42:00,2016-04-28 12:28:00,0
CCTV-10-2.5M,地理中国,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226157/00000100000000060000000000087197_0.smil,350000000002,2016-04-28 08:10:00,2016-04-28 08:42:00,0
CCTV-10-2.5M,地理中国,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226157/00000100000000060000000000087197_0.smil,350000000002,2016-04-28 14:57:00,2016-04-28 15:29:00,0
CCTV-10-2.5M,地理中国,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226157/00000100000000060000000000087197_0.smil,350000000002,2016-04-28 17:43:00,2016-04-28 18:13:00,0
CCTV-10-2.5M,第10放映室,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226157/00000100000000060000000000087197_0.smil,350000000002,2016-04-28 01:17:00,2016-04-28 01:59:00,0
CCTV-10-2.5M,健康之路,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226157/00000100000000060000000000087197_0.smil,350000000002,2016-04-28 08:42:00,2016-04-28 09:29:00,0
CCTV-10-2.5M,健康之路,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226157/00000100000000060000000000087197_0.smil,350000000002,2016-04-28 12:28:00,2016-04-28 13:14:00,0
CCTV-10-2.5M,健康之路,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226157/00000100000000060000000000087197_0.smil,350000000002,2016-04-28 18:13:00,2016-04-28 18:57:00,0
CCTV-10-2.5M,人物,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226157/00000100000000060000000000087197_0.smil,350000000002,2016-04-28 22:49:00,2016-04-28 23:32:00,0
CCTV-10-2.5M,探索发现,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226157/00000100000000060000000000087197_0.smil,350000000002,2016-04-28 14:10:00,2016-04-28 14:57:00,0
CCTV-10-2.5M,探索发现,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226157/00000100000000060000000000087197_0.smil,350000000002,2016-04-28 22:03:00,2016-04-28 22:49:00,0
CCTV-10-2.5M,我爱发明,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226157/00000100000000060000000000087197_0.smil,350000000002,2016-04-28 00:24:00,2016-04-28 01:17:00,0
CCTV-10-2.5M,我爱发明,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226157/00000100000000060000000000087197_0.smil,350000000002,2016-04-28 07:14:00,2016-04-28 08:10:00,0
CCTV-10-2.5M,我爱发明,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226157/00000100000000060000000000087197_0.smil,350000000002,2016-04-28 13:14:00,2016-04-28 14:10:00,0
CCTV-10-2.5M,我爱发明,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226157/00000100000000060000000000087197_0.smil,350000000002,2016-04-28 18:57:00,2016-04-28 19:53:00,0
CCTV-10-2.5M,欣赏,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226157/00000100000000060000000000087197_0.smil,350000000002,2016-04-28 07:09:00,2016-04-28 07:14:00,0
CCTV-10-2.5M,欣赏,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226157/00000100000000060000000000087197_0.smil,350000000002,2016-04-28 23:32:00,2016-04-28 23:37:00,0
CCTV-10-2.5M,真相特别节目(75),RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226157/00000100000000060000000000087197_0.smil,350000000002,2016-04-28 01:59:00,2016-04-28 03:39:00,0
CCTV-10-2.5M,真相特别节目(75),RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226157/00000100000000060000000000087197_0.smil,350000000002,2016-04-28 03:39:00,2016-04-28 05:19:00,0
CCTV-10-2.5M,真相特别节目(75),RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226157/00000100000000060000000000087197_0.smil,350000000002,2016-04-28 05:19:00,2016-04-28 06:00:00,0
CCTV-10-2.5M,真相特别节目(79),RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226157/00000100000000060000000000087197_0.smil,350000000002,2016-04-28 10:41:00,2016-04-28 11:42:00,0
CCTV-10-2.5M,真相特别节目(79),RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226157/00000100000000060000000000087197_0.smil,350000000002,2016-04-28 16:47:00,2016-04-28 17:43:00,0
CCTV-10-2.5M,真相特别节目(80),RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226157/00000100000000060000000000087197_0.smil,350000000002,2016-04-28 21:05:00,2016-04-28 22:03:00,0
CCTV-10-2.5M,自然传奇,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226157/00000100000000060000000000087197_0.smil,350000000002,2016-04-28 06:00:00,2016-04-28 06:43:00,0
CCTV-10-2.5M,自然传奇,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226157/00000100000000060000000000087197_0.smil,350000000002,2016-04-28 09:29:00,2016-04-28 10:41:00,0
CCTV-10-2.5M,自然传奇,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226157/00000100000000060000000000087197_0.smil,350000000002,2016-04-28 15:29:00,2016-04-28 16:47:00,0
CCTV-10-2.5M,自然传奇,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226157/00000100000000060000000000087197_0.smil,350000000002,2016-04-28 19:53:00,2016-04-28 20:36:00,0
CCTV-10-2.5M,走近科学,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226157/00000100000000060000000000087197_0.smil,350000000002,2016-04-28 06:43:00,2016-04-28 07:09:00,0
CCTV-10-2.5M,走近科学,RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/3221226157/00000100000000060000000000087197_0.smil,350000000002,2016-04-28 20:36:00,2016-04-28 21:05:00,0
CCTV-11,大宅门(29),RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225551/00000000015c.smil,350000000002,2016-04-28 00:00:00,2016-04-28 00:43:00,0
CCTV-11,大宅门(30),RECORD_SUCC,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225551/00000000015c.smil,350000000002,2016-04-28 21:44:00,2016-04-28 22:32:00,0
